"","RF","SPR"
"result.2531",36,11
"result.2532",34,12
"result.2533",36,13
"result.2534",36,11
"result.2535",36,12
"result.2536",36,12
"result.2537",36,13
"result.2538",34,11
"result.2539",32,10
"result.2540",36,13
"result.2541",36,12
"result.2542",34,11
"result.2543",36,13
"result.2544",32,11
"result.2545",36,12
"result.2546",36,13
"result.2547",36,12
"result.2548",34,11
"result.2549",36,11
"result.2550",36,12
"result.2551",36,13
"result.2552",36,12
"result.2553",36,12
"result.2554",34,12
"result.2555",34,12
"result.2556",36,11
"result.2557",36,13
"result.2558",36,12
"result.2559",36,12
"result.2560",30,10
"result.2561",36,13
"result.2562",32,10
"result.2563",36,13
"result.2564",36,13
"result.2565",36,11
"result.2566",36,12
"result.2567",34,12
"result.2568",36,13
"result.2569",36,12
"result.2570",36,13
"result.2571",34,11
"result.2572",32,10
"result.2573",36,12
"result.2574",36,12
"result.2575",34,11
"result.2576",36,13
"result.2577",36,12
"result.2578",32,11
"result.2579",36,12
"result.2580",36,13
"result.2581",34,11
"result.2582",34,11
"result.2583",36,12
"result.2584",36,12
"result.2585",36,13
"result.2586",34,10
"result.2587",36,11
"result.2588",36,13
"result.2589",36,13
"result.2590",36,12
"result.2591",36,12
"result.2592",36,12
"result.2593",36,13
"result.2594",36,13
"result.2595",36,13
"result.2596",36,13
"result.2597",34,12
"result.2598",32,12
"result.2599",36,13
"result.2600",36,12
"result.2601",36,12
"result.2602",36,12
"result.2603",36,12
"result.2604",36,12
"result.2605",36,12
"result.2606",36,13
"result.2607",36,12
"result.2608",36,13
"result.2609",36,12
"result.2610",36,12
"result.2611",36,12
"result.2612",36,12
"result.2613",36,12
"result.2614",36,13
"result.2615",34,11
"result.2616",36,13
"result.2617",36,13
"result.2618",36,13
"result.2619",36,13
"result.2620",36,13
"result.2621",36,12
"result.2622",36,12
"result.2623",36,13
"result.2624",36,11
"result.2625",36,12
"result.2626",34,12
"result.2627",34,12
"result.2628",36,13
"result.2629",36,12
"result.2630",36,11
"result.2631",34,11
"result.2632",34,10
"result.2633",36,12
"result.2634",34,11
"result.2635",36,12
"result.2636",34,11
"result.2637",36,12
"result.2638",34,12
"result.2639",34,12
"result.2640",34,12
"result.2641",36,13
"result.2642",34,11
"result.2643",36,12
"result.2644",36,12
"result.2645",36,13
"result.2646",36,12
"result.2647",36,11
"result.2648",36,12
"result.2649",36,12
"result.2650",36,13
"result.2651",36,12
"result.2652",36,12
"result.2653",36,13
"result.2654",36,13
"result.2655",36,13
"result.2656",36,13
"result.2657",36,13
"result.2658",36,13
"result.2659",36,13
"result.2660",34,13
"result.2661",36,12
"result.2662",36,13
"result.2663",34,11
"result.2664",36,13
"result.2665",34,12
"result.2666",36,13
"result.2667",36,13
"result.2668",36,13
"result.2669",30,10
"result.2670",34,12
"result.2671",34,11
"result.2672",36,14
"result.2673",34,11
"result.2674",34,12
"result.2675",36,12
"result.2676",36,12
"result.2677",36,13
"result.2678",36,12
"result.2679",36,13
"result.2680",36,11
"result.2681",36,13
"result.2682",36,12
"result.2683",36,12
"result.2684",34,12
"result.2685",36,13
"result.2686",34,10
"result.2687",36,13
"result.2688",36,12
"result.2689",34,11
"result.2690",36,14
"result.2691",36,13
"result.2692",36,12
"result.2693",36,12
"result.2694",36,13
"result.2695",36,13
"result.2696",36,13
"result.2697",36,13
"result.2698",36,12
"result.2699",36,12
"result.2700",36,13
"result.2701",36,12
"result.2702",36,13
"result.2703",34,13
"result.2704",36,12
"result.2705",36,13
"result.2706",36,12
"result.2707",34,12
"result.2708",36,11
"result.2709",36,12
"result.2710",36,13
"result.2711",36,12
"result.2712",34,10
"result.2713",36,13
"result.2714",36,12
"result.2715",34,13
"result.2716",36,11
"result.2717",34,13
"result.2718",36,13
"result.2719",36,11
"result.2720",34,11
"result.2721",36,12
"result.2722",36,11
"result.2723",36,13
"result.2724",36,12
"result.2725",36,12
"result.2726",34,11
"result.2727",34,10
"result.2728",34,10
"result.2729",36,13
"result.2730",36,13
"result.2731",36,14
"result.2732",36,12
"result.2733",36,13
"result.2734",36,13
"result.2735",36,11
"result.2736",36,13
"result.2737",36,13
"result.2738",36,13
"result.2739",36,12
"result.2740",36,13
"result.2741",36,12
"result.2742",32,11
"result.2743",36,13
"result.2744",34,11
"result.2745",36,13
"result.2746",34,11
"result.2747",36,13
"result.2748",36,12
"result.2749",36,13
"result.2750",36,12
"result.2751",36,13
"result.2752",36,13
"result.2753",36,13
"result.2754",36,13
"result.2755",36,13
"result.2756",36,13
"result.2757",36,12
"result.2758",36,13
"result.2759",36,13
"result.2760",36,13
"result.2761",36,12
"result.2762",36,13
"result.2763",36,12
"result.2764",34,12
"result.2765",32,10
"result.2766",36,12
"result.2767",36,13
"result.2768",36,12
"result.2769",36,12
"result.2770",36,12
"result.2771",36,12
"result.2772",34,11
"result.2773",36,13
"result.2774",36,12
"result.2775",36,13
"result.2776",36,11
"result.2777",36,12
"result.2778",36,13
"result.2779",36,13
"result.2780",36,12
"result.2781",36,12
"result.2782",36,12
"result.2783",36,13
"result.2784",36,11
"result.2785",36,14
"result.2786",36,11
"result.2787",36,14
"result.2788",36,12
"result.2789",36,12
"result.2790",36,13
"result.2791",36,12
"result.2792",36,13
"result.2793",36,13
"result.2794",36,13
"result.2795",36,12
"result.2796",36,13
"result.2797",36,13
"result.2798",36,13
"result.2799",34,12
"result.2800",36,13
"result.2801",36,13
"result.2802",34,11
"result.2803",36,13
"result.2804",36,12
"result.2805",36,13
"result.2806",34,12
"result.2807",36,13
"result.2808",36,13
"result.2809",36,12
"result.2810",36,13
"result.2811",36,12
"result.2812",36,13
"result.2813",36,12
"result.2814",36,12
"result.2815",36,12
"result.2816",34,12
"result.2817",36,11
"result.2818",34,11
"result.2819",36,12
"result.2820",34,12
"result.2821",36,12
"result.2822",36,12
"result.2823",36,13
"result.2824",36,12
"result.2825",34,10
"result.2826",36,13
"result.2827",36,13
"result.2828",36,13
"result.2829",36,12
"result.2830",36,12
"result.2831",32,9
"result.2832",34,11
"result.2833",36,12
"result.2834",36,12
"result.2835",34,12
"result.2836",36,13
"result.2837",34,11
"result.2838",36,12
"result.2839",36,11
"result.2840",34,10
"result.2841",36,12
"result.2842",36,12
"result.2843",36,13
"result.2844",36,13
"result.2845",36,12
"result.2846",36,12
"result.2847",36,13
"result.2848",36,13
"result.2849",36,12
"result.2850",36,13
"result.2851",36,13
"result.2852",36,11
"result.2853",36,12
"result.2854",36,12
"result.2855",34,12
"result.2856",36,12
"result.2857",36,13
"result.2858",34,12
"result.2859",32,10
"result.2860",36,12
"result.2861",36,13
"result.2862",34,12
"result.2863",36,13
"result.2864",36,12
"result.2865",36,13
"result.2866",36,12
"result.2867",34,11
"result.2868",36,12
"result.2869",36,12
"result.2870",36,12
"result.2871",36,12
"result.2872",36,13
"result.2873",36,12
"result.2874",36,12
"result.2875",36,13
"result.2876",36,13
"result.2877",36,13
"result.2878",36,11
"result.2879",36,11
"result.2880",36,11
"result.2881",36,12
"result.2882",36,13
"result.2883",36,12
"result.2884",36,13
"result.2885",36,11
"result.2886",36,12
"result.2887",34,11
"result.2888",36,12
"result.2889",36,12
"result.2890",36,13
"result.2891",36,13
"result.2892",36,13
"result.2893",36,13
"result.2894",36,14
"result.2895",36,13
"result.2896",36,12
"result.2897",36,12
"result.2898",34,11
"result.2899",34,12
"result.2900",36,11
"result.2901",36,12
"result.2902",36,11
"result.2903",36,11
"result.2904",36,13
"result.2905",36,12
"result.2906",34,11
"result.2907",36,14
"result.2908",36,13
"result.2909",36,12
"result.2910",36,13
"result.2911",36,12
"result.2912",36,13
"result.2913",36,12
"result.2914",34,10
"result.2915",36,12
"result.2916",36,13
"result.2917",36,13
"result.2918",36,13
"result.2919",34,11
"result.2920",34,12
"result.2921",36,12
"result.2922",36,13
"result.2923",32,10
"result.2924",36,11
"result.2925",36,12
"result.2926",36,12
"result.2927",36,12
"result.2928",34,11
"result.2929",36,13
"result.2930",36,12
"result.2931",36,11
"result.2932",36,12
"result.2933",36,14
"result.2934",34,13
"result.2935",36,13
"result.2936",36,13
"result.2937",34,12
"result.2938",36,12
"result.2939",36,12
"result.2940",36,12
"result.2941",36,11
"result.2942",36,12
"result.2943",36,13
"result.2944",34,10
"result.2945",36,13
"result.2946",36,12
"result.2947",36,13
"result.2948",36,12
"result.2949",36,12
"result.2950",36,11
"result.2951",34,12
"result.2952",34,11
"result.2953",36,12
"result.2954",36,13
"result.2955",36,13
"result.2956",36,13
"result.2957",36,12
"result.2958",36,13
"result.2959",36,12
"result.2960",36,11
"result.2961",36,12
"result.2962",36,13
"result.2963",36,13
"result.2964",36,11
"result.2965",36,13
"result.2966",36,13
"result.2967",36,11
"result.2968",36,13
"result.2969",36,13
"result.2970",36,12
"result.2971",30,10
"result.2972",32,11
"result.2973",36,13
"result.2974",36,11
"result.2975",36,13
"result.2976",36,12
"result.2977",36,12
"result.2978",36,12
"result.2979",34,12
"result.2980",36,11
"result.2981",36,12
"result.2982",36,12
"result.2983",34,12
"result.2984",34,9
"result.2985",36,14
"result.2986",34,11
"result.2987",36,13
"result.2988",36,13
"result.2989",36,11
"result.2990",34,12
"result.2991",36,11
"result.2992",36,11
"result.2993",36,13
"result.2994",36,12
"result.2995",36,12
"result.2996",36,12
"result.2997",36,12
"result.2998",36,13
"result.2999",36,12
"result.3000",36,12
"result.3001",36,13
"result.3002",36,12
"result.3003",34,12
"result.3004",36,13
"result.3005",36,13
"result.3006",36,12
"result.3007",36,13
"result.3008",34,12
"result.3009",36,13
"result.3010",36,12
"result.3011",34,11
"result.3012",36,11
"result.3013",36,13
"result.3014",36,12
"result.3015",36,12
"result.3016",36,12
"result.3017",36,11
"result.3018",34,11
"result.3019",36,13
"result.3020",36,13
"result.3021",36,14
"result.3022",36,12
"result.3023",34,11
"result.3024",36,13
"result.3025",36,12
"result.3026",36,12
"result.3027",34,12
"result.3028",36,13
"result.3029",36,12
"result.3030",34,11
"result.3031",36,13
"result.3032",36,13
"result.3033",34,12
"result.3034",36,13
"result.3035",34,11
"result.3036",36,13
"result.3037",36,12
"result.3038",32,9
"result.3039",36,12
"result.3040",36,13
"result.3041",36,12
"result.3042",36,13
"result.3043",36,12
"result.3044",36,12
"result.3045",36,12
"result.3046",36,13
"result.3047",36,11
"result.3048",36,12
"result.3049",36,13
"result.3050",36,13
"result.3051",36,13
"result.3052",36,12
"result.3053",36,13
"result.3054",34,11
"result.3055",36,11
"result.3056",36,13
"result.3057",36,13
"result.3058",36,11
"result.3059",36,11
"result.3060",36,12
"result.3061",36,12
"result.3062",36,13
"result.3063",36,11
"result.3064",36,13
"result.3065",36,13
"result.3066",36,12
"result.3067",36,12
"result.3068",34,12
"result.3069",36,12
"result.3070",34,12
"result.3071",36,13
"result.3072",36,11
"result.3073",34,11
"result.3074",32,11
"result.3075",34,13
"result.3076",36,12
"result.3077",34,12
"result.3078",36,12
"result.3079",36,13
"result.3080",34,13
"result.3081",36,12
"result.3082",36,13
"result.3083",36,13
"result.3084",36,13
"result.3085",36,13
"result.3086",36,12
"result.3087",36,12
"result.3088",34,11
"result.3089",36,12
"result.3090",32,11
"result.3091",36,12
"result.3092",36,12
"result.3093",36,12
"result.3094",32,10
"result.3095",36,12
"result.3096",36,11
"result.3097",36,12
"result.3098",34,13
"result.3099",36,12
"result.3100",36,13
"result.3101",36,13
"result.3102",36,10
"result.3103",36,12
"result.3104",36,12
"result.3105",36,13
"result.3106",36,12
"result.3107",36,13
"result.3108",36,13
"result.3109",34,11
"result.3110",36,13
"result.3111",36,13
"result.3112",36,11
"result.3113",36,12
"result.3114",34,12
"result.3115",36,12
"result.3116",34,11
"result.3117",36,12
"result.3118",36,12
"result.3119",36,13
"result.3120",36,12
"result.3121",36,11
"result.3122",36,12
"result.3123",36,13
"result.3124",36,12
"result.3125",36,13
"result.3126",36,13
"result.3127",36,12
"result.3128",36,13
"result.3129",36,13
"result.3130",34,12
"result.3131",36,13
"result.3132",36,12
"result.3133",32,11
"result.3134",36,12
"result.3135",36,12
"result.3136",36,12
"result.3137",34,12
"result.3138",36,12
"result.3139",36,12
"result.3140",36,13
"result.3141",36,13
"result.3142",34,13
"result.3143",32,12
"result.3144",36,13
"result.3145",36,13
"result.3146",36,13
"result.3147",36,12
"result.3148",36,14
"result.3149",36,12
"result.3150",36,13
"result.3151",36,12
"result.3152",32,11
"result.3153",36,11
"result.3154",36,13
"result.3155",36,13
"result.3156",36,13
"result.3157",34,11
"result.3158",36,12
"result.3159",36,12
"result.3160",36,13
"result.3161",36,12
"result.3162",34,11
"result.3163",36,12
"result.3164",36,13
"result.3165",36,11
"result.3166",36,12
"result.3167",34,11
"result.3168",36,10
"result.3169",36,12
"result.3170",36,13
"result.3171",36,11
"result.3172",34,12
"result.3173",36,12
"result.3174",36,14
"result.3175",36,12
"result.3176",36,13
"result.3177",34,12
"result.3178",32,11
"result.3179",36,13
"result.3180",32,11
"result.3181",34,11
"result.3182",36,13
"result.3183",36,13
"result.3184",36,14
"result.3185",36,13
"result.3186",36,12
"result.3187",36,13
"result.3188",36,12
"result.3189",36,12
"result.3190",34,12
"result.3191",36,13
"result.3192",36,11
"result.3193",36,12
"result.3194",36,13
"result.3195",32,11
"result.3196",36,13
"result.3197",36,12
"result.3198",36,13
"result.3199",36,13
"result.3200",36,12
"result.3201",36,12
"result.3202",36,13
"result.3203",36,13
"result.3204",36,12
"result.3205",34,12
"result.3206",36,12
"result.3207",34,11
"result.3208",34,11
"result.3209",36,12
"result.3210",36,13
"result.3211",36,13
"result.3212",36,12
"result.3213",36,13
"result.3214",36,12
"result.3215",36,13
"result.3216",36,12
"result.3217",34,11
"result.3218",34,11
"result.3219",36,12
"result.3220",36,13
"result.3221",34,12
"result.3222",36,13
"result.3223",36,12
"result.3224",34,12
"result.3225",36,12
"result.3226",36,13
"result.3227",36,12
"result.3228",36,13
"result.3229",34,11
"result.3230",36,12
"result.3231",36,11
"result.3232",36,13
"result.3233",36,12
"result.3234",36,13
"result.3235",36,12
"result.3236",36,13
"result.3237",36,13
"result.3238",36,13
"result.3239",34,10
"result.3240",36,12
"result.3241",36,12
"result.3242",34,12
"result.3243",36,12
"result.3244",32,12
"result.3245",34,12
"result.3246",36,12
"result.3247",34,12
"result.3248",36,12
"result.3249",36,12
"result.3250",36,12
"result.3251",36,13
"result.3252",36,12
"result.3253",36,12
"result.3254",36,12
"result.3255",34,12
"result.3256",36,12
"result.3257",34,12
"result.3258",34,12
"result.3259",36,12
"result.3260",34,12
"result.3261",34,12
"result.3262",34,12
"result.3263",36,14
"result.3264",34,11
"result.3265",36,13
"result.3266",36,13
"result.3267",34,11
"result.3268",36,12
"result.3269",36,12
"result.3270",36,14
"result.3271",34,11
"result.3272",36,12
"result.3273",36,13
"result.3274",36,13
"result.3275",36,11
"result.3276",36,11
"result.3277",36,11
"result.3278",36,12
"result.3279",36,11
"result.3280",36,13
"result.3281",34,11
"result.3282",34,12
"result.3283",36,14
"result.3284",34,11
"result.3285",36,12
"result.3286",36,11
"result.3287",36,13
"result.3288",36,13
"result.3289",36,12
"result.3290",36,11
"result.3291",34,11
"result.3292",36,14
"result.3293",36,12
"result.3294",36,13
"result.3295",36,13
"result.3296",34,10
"result.3297",36,12
"result.3298",36,11
"result.3299",36,13
"result.3300",36,13
"result.3301",36,12
"result.3302",34,13
"result.3303",36,12
"result.3304",36,11
"result.3305",36,13
"result.3306",36,12
"result.3307",36,11
"result.3308",34,10
"result.3309",34,12
"result.3310",36,13
"result.3311",36,13
"result.3312",36,13
"result.3313",36,13
"result.3314",36,14
"result.3315",36,12
"result.3316",36,13
"result.3317",36,12
"result.3318",36,13
"result.3319",36,13
"result.3320",36,12
"result.3321",36,12
"result.3322",36,11
"result.3323",34,12
"result.3324",36,12
"result.3325",36,12
"result.3326",36,12
"result.3327",34,13
"result.3328",36,13
"result.3329",36,12
"result.3330",36,12
"result.3331",34,12
"result.3332",36,13
"result.3333",36,13
"result.3334",36,13
"result.3335",36,13
"result.3336",36,13
"result.3337",36,12
"result.3338",36,13
"result.3339",34,12
"result.3340",36,13
"result.3341",34,13
"result.3342",36,14
"result.3343",36,13
"result.3344",32,10
"result.3345",36,14
"result.3346",36,11
"result.3347",34,12
"result.3348",36,13
"result.3349",36,12
"result.3350",36,12
"result.3351",36,13
"result.3352",36,13
"result.3353",36,12
"result.3354",34,11
"result.3355",36,12
"result.3356",36,12
"result.3357",36,13
"result.3358",36,11
"result.3359",36,12
"result.3360",36,13
"result.3361",34,11
"result.3362",36,11
"result.3363",36,12
"result.3364",36,11
"result.3365",34,12
"result.3366",36,12
"result.3367",36,13
"result.3368",36,12
"result.3369",36,13
"result.3370",36,13
"result.3371",34,12
"result.3372",36,13
"result.3373",34,12
"result.3374",36,11
"result.3375",36,13
"result.3376",36,11
"result.3377",36,13
"result.3378",36,13
"result.3379",34,11
"result.3380",36,13
"result.3381",36,13
"result.3382",36,11
"result.3383",36,13
"result.3384",36,13
"result.3385",32,10
"result.3386",36,13
"result.3387",32,11
"result.3388",36,11
"result.3389",36,13
"result.3390",36,13
"result.3391",36,12
"result.3392",36,13
"result.3393",34,11
"result.3394",36,13
"result.3395",36,12
"result.3396",36,12
"result.3397",34,10
"result.3398",34,13
"result.3399",34,11
"result.3400",34,12
"result.3401",34,11
"result.3402",36,12
"result.3403",36,11
"result.3404",36,12
"result.3405",34,12
"result.3406",36,12
"result.3407",36,13
"result.3408",36,13
"result.3409",34,10
"result.3410",36,13
"result.3411",36,12
"result.3412",36,12
"result.3413",34,12
"result.3414",36,14
"result.3415",36,12
"result.3416",36,12
"result.3417",36,12
"result.3418",36,12
"result.3419",36,12
"result.3420",36,13
"result.3421",36,12
"result.3422",36,13
"result.3423",36,13
"result.3424",36,11
"result.3425",36,12
"result.3426",36,12
"result.3427",36,11
"result.3428",34,12
"result.3429",36,12
"result.3430",36,13
"result.3431",36,12
"result.3432",36,13
"result.3433",34,12
"result.3434",34,13
"result.3435",36,13
"result.3436",36,12
"result.3437",36,12
"result.3438",34,13
"result.3439",36,13
"result.3440",36,13
"result.3441",36,12
"result.3442",32,11
"result.3443",36,11
"result.3444",36,13
"result.3445",36,11
"result.3446",36,13
"result.3447",36,13
"result.3448",36,12
"result.3449",36,12
"result.3450",32,11
"result.3451",36,13
"result.3452",36,13
"result.3453",36,13
"result.3454",34,12
"result.3455",36,13
"result.3456",36,12
"result.3457",36,13
"result.3458",32,10
"result.3459",34,11
"result.3460",36,13
"result.3461",36,10
"result.3462",36,12
"result.3463",36,13
"result.3464",34,11
"result.3465",36,13
"result.3466",36,12
"result.3467",34,11
"result.3468",36,12
"result.3469",36,12
"result.3470",36,12
"result.3471",36,12
"result.3472",34,11
"result.3473",34,12
"result.3474",36,13
"result.3475",36,12
"result.3476",36,12
"result.3477",36,11
"result.3478",36,12
"result.3479",36,13
"result.3480",36,12
"result.3481",34,11
"result.3482",36,12
"result.3483",36,12
"result.3484",36,14
"result.3485",36,13
"result.3486",36,12
"result.3487",36,13
"result.3488",36,13
"result.3489",36,12
"result.3490",36,13
"result.3491",36,12
"result.3492",36,13
"result.3493",36,13
"result.3494",36,11
"result.3495",36,12
"result.3496",36,13
"result.3497",30,11
"result.3498",36,11
"result.3499",36,12
"result.3500",36,12
"result.3501",34,13
"result.3502",36,13
"result.3503",36,12
"result.3504",36,13
"result.3505",36,12
"result.3506",36,13
"result.3507",36,13
"result.3508",36,11
"result.3509",36,12
"result.3510",36,12
"result.3511",36,11
"result.3512",34,11
"result.3513",34,12
"result.3514",36,12
"result.3515",36,12
"result.3516",36,12
"result.3517",36,12
"result.3518",32,11
"result.3519",36,12
"result.3520",34,12
"result.3521",36,12
"result.3522",34,12
"result.3523",36,13
"result.3524",34,12
"result.3525",36,13
"result.3526",32,10
"result.3527",36,12
"result.3528",36,14
"result.3529",36,12
"result.3530",34,12
"result.3531",34,11
"result.3532",36,12
"result.3533",36,13
"result.3534",36,12
"result.3535",36,12
"result.3536",36,12
"result.3537",36,12
"result.3538",36,12
"result.3539",36,13
"result.3540",36,10
"result.3541",36,13
"result.3542",36,10
"result.3543",36,11
"result.3544",36,11
"result.3545",36,13
"result.3546",36,12
"result.3547",36,11
"result.3548",36,12
"result.3549",36,12
"result.3550",36,13
"result.3551",36,12
"result.3552",36,12
"result.3553",36,12
"result.3554",36,13
"result.3555",36,13
"result.3556",36,13
"result.3557",36,12
"result.3558",36,13
"result.3559",36,13
"result.3560",36,13
"result.3561",36,12
"result.3562",36,13
"result.3563",36,12
"result.3564",36,12
"result.3565",36,13
"result.3566",34,11
"result.3567",36,12
"result.3568",36,13
"result.3569",36,12
"result.3570",36,13
"result.3571",36,12
"result.3572",36,12
"result.3573",36,13
"result.3574",36,11
"result.3575",34,12
"result.3576",36,11
"result.3577",36,13
"result.3578",36,11
"result.3579",36,12
"result.3580",36,13
"result.3581",36,12
"result.3582",32,11
"result.3583",36,13
"result.3584",34,12
"result.3585",36,12
"result.3586",34,12
"result.3587",36,11
"result.3588",36,12
"result.3589",36,12
"result.3590",36,12
"result.3591",34,11
"result.3592",36,12
"result.3593",36,13
"result.3594",36,12
"result.3595",36,14
"result.3596",36,12
"result.3597",32,10
"result.3598",36,12
"result.3599",36,13
"result.3600",34,12
"result.3601",36,13
"result.3602",36,12
"result.3603",36,13
"result.3604",34,11
"result.3605",36,12
"result.3606",34,12
"result.3607",36,13
"result.3608",36,13
"result.3609",36,11
"result.3610",36,12
"result.3611",36,14
"result.3612",34,11
"result.3613",36,12
"result.3614",36,11
"result.3615",36,11
"result.3616",36,12
"result.3617",36,12
"result.3618",36,13
"result.3619",34,12
"result.3620",36,12
"result.3621",34,11
"result.3622",36,13
"result.3623",36,13
"result.3624",34,12
"result.3625",36,13
"result.3626",36,11
"result.3627",36,12
"result.3628",36,10
"result.3629",36,13
"result.3630",36,13
"result.3631",36,13
"result.3632",36,12
"result.3633",36,13
"result.3634",36,13
"result.3635",34,12
"result.3636",36,11
"result.3637",36,12
"result.3638",36,13
"result.3639",36,13
"result.3640",30,10
"result.3641",36,12
"result.3642",36,12
"result.3643",36,13
"result.3644",34,12
"result.3645",34,11
"result.3646",36,12
"result.3647",36,12
"result.3648",36,13
"result.3649",36,12
"result.3650",34,11
"result.3651",36,13
"result.3652",36,12
"result.3653",34,12
"result.3654",36,12
"result.3655",36,13
"result.3656",36,13
"result.3657",34,12
"result.3658",36,12
"result.3659",36,12
"result.3660",36,13
"result.3661",36,12
"result.3662",36,12
"result.3663",36,13
"result.3664",36,12
"result.3665",36,12
"result.3666",36,13
"result.3667",36,12
"result.3668",36,12
"result.3669",34,13
"result.3670",36,11
"result.3671",36,12
"result.3672",36,12
"result.3673",36,13
"result.3674",36,13
"result.3675",36,12
"result.3676",36,13
"result.3677",36,12
"result.3678",36,13
"result.3679",36,12
"result.3680",36,13
"result.3681",36,12
"result.3682",36,12
"result.3683",36,12
"result.3684",32,11
"result.3685",32,10
"result.3686",34,11
"result.3687",34,11
"result.3688",36,13
"result.3689",34,12
"result.3690",36,12
"result.3691",34,11
"result.3692",36,13
"result.3693",36,13
"result.3694",36,12
"result.3695",36,11
"result.3696",36,12
"result.3697",36,13
"result.3698",34,12
"result.3699",36,12
"result.3700",36,13
"result.3701",36,11
"result.3702",34,10
"result.3703",36,12
"result.3704",36,13
"result.3705",34,12
"result.3706",36,13
"result.3707",34,12
"result.3708",34,11
"result.3709",36,12
"result.3710",36,13
"result.3711",36,13
"result.3712",36,12
"result.3713",36,13
"result.3714",36,11
"result.3715",36,13
"result.3716",36,12
"result.3717",36,12
"result.3718",36,13
"result.3719",36,13
"result.3720",36,12
"result.3721",36,12
"result.3722",36,13
"result.3723",34,12
"result.3724",34,11
"result.3725",36,13
"result.3726",36,11
"result.3727",32,11
"result.3728",36,13
"result.3729",36,13
"result.3730",34,12
"result.3731",36,10
"result.3732",36,13
"result.3733",36,14
"result.3734",36,12
"result.3735",36,13
"result.3736",36,13
"result.3737",36,13
"result.3738",36,11
"result.3739",36,12
"result.3740",36,13
"result.3741",34,11
"result.3742",36,12
"result.3743",36,14
"result.3744",36,12
"result.3745",36,11
"result.3746",36,12
"result.3747",36,13
"result.3748",36,13
"result.3749",36,13
"result.3750",34,11
"result.3751",36,11
"result.3752",36,13
"result.3753",32,10
"result.3754",36,12
"result.3755",36,10
"result.3756",36,13
"result.3757",36,13
"result.3758",34,11
"result.3759",36,13
"result.3760",34,12
"result.3761",36,11
"result.3762",36,11
"result.3763",36,13
"result.3764",36,12
"result.3765",36,12
"result.3766",36,12
"result.3767",36,13
"result.3768",34,11
"result.3769",36,13
"result.3770",36,11
"result.3771",34,12
"result.3772",32,11
"result.3773",36,12
"result.3774",34,10
"result.3775",36,13
"result.3776",36,14
"result.3777",36,10
"result.3778",36,11
"result.3779",36,13
"result.3780",36,12
"result.3781",32,11
"result.3782",36,13
"result.3783",36,13
"result.3784",36,11
"result.3785",36,12
"result.3786",32,10
"result.3787",36,13
"result.3788",36,12
"result.3789",34,13
"result.3790",36,13
"result.3791",36,11
"result.3792",34,12
"result.3793",36,13
"result.3794",36,12
"result.3795",36,11
"result.3796",36,13
"result.3797",36,11
"result.3798",36,14
"result.3799",36,12
"result.3800",36,12
"result.3801",36,11
"result.3802",36,11
"result.3803",34,11
"result.3804",36,12
"result.3805",34,12
"result.3806",36,13
"result.3807",36,13
"result.3808",34,13
"result.3809",36,12
"result.3810",34,13
"result.3811",32,10
"result.3812",36,12
"result.3813",36,12
"result.3814",36,13
"result.3815",36,13
"result.3816",36,12
"result.3817",36,12
"result.3818",34,12
"result.3819",34,10
"result.3820",32,11
"result.3821",36,12
"result.3822",34,11
"result.3823",34,11
"result.3824",36,11
"result.3825",36,13
"result.3826",36,12
"result.3827",34,10
"result.3828",36,12
"result.3829",34,13
"result.3830",36,13
"result.3831",34,11
"result.3832",36,12
"result.3833",36,12
"result.3834",36,12
"result.3835",36,12
"result.3836",34,11
"result.3837",36,11
"result.3838",36,11
"result.3839",36,13
"result.3840",36,13
"result.3841",36,13
"result.3842",36,12
"result.3843",36,13
"result.3844",36,10
"result.3845",36,12
"result.3846",34,12
"result.3847",36,13
"result.3848",36,13
"result.3849",36,13
"result.3850",36,12
"result.3851",36,13
"result.3852",36,12
"result.3853",36,12
"result.3854",34,12
"result.3855",36,13
"result.3856",36,14
"result.3857",36,12
"result.3858",36,13
"result.3859",36,12
"result.3860",36,14
"result.3861",36,13
"result.3862",36,11
"result.3863",36,11
"result.3864",36,13
"result.3865",36,11
"result.3866",34,12
"result.3867",36,13
"result.3868",36,12
"result.3869",34,11
"result.3870",36,12
"result.3871",36,12
"result.3872",36,13
"result.3873",36,12
"result.3874",36,14
"result.3875",36,12
"result.3876",32,10
"result.3877",36,13
"result.3878",34,12
"result.3879",36,12
"result.3880",36,12
"result.3881",36,13
"result.3882",30,11
"result.3883",36,12
"result.3884",36,11
"result.3885",36,12
"result.3886",36,13
"result.3887",36,13
"result.3888",36,13
"result.3889",36,13
"result.3890",36,13
"result.3891",36,11
"result.3892",36,11
"result.3893",36,13
"result.3894",36,12
"result.3895",36,11
"result.3896",36,11
"result.3897",36,11
"result.3898",34,11
"result.3899",36,13
"result.3900",36,11
"result.3901",36,13
"result.3902",36,12
"result.3903",36,13
"result.3904",36,12
"result.3905",34,11
"result.3906",36,12
"result.3907",36,13
"result.3908",34,12
"result.3909",36,12
"result.3910",36,12
"result.3911",36,13
"result.3912",36,12
"result.3913",36,13
"result.3914",36,12
"result.3915",36,12
"result.3916",36,14
"result.3917",36,13
"result.3918",36,13
"result.3919",32,12
"result.3920",36,14
"result.3921",34,11
"result.3922",36,12
"result.3923",36,13
"result.3924",36,13
"result.3925",36,11
"result.3926",36,12
"result.3927",36,13
"result.3928",34,10
"result.3929",36,12
